,sentences,sentences
33, ????? ??????????? ?????? ?????????? ???? ????? ??? ???????? ?????? ?? ???? ???? ???., Mit? din setak?re o?r?ak? renak? ben?ci cetanre Mini dur?up? kate- Kabuliwala sa?o a?d?i napaye galmarao kana; ar Kabuliwala ho? o?tre dur?up? muluc? landa landate a?d?i ra?ska? salak? galmaraowe an?jomet? kana.
34," ???? ????, ????? ??????? ???? ?????-??????? ????????.", Kabuliwala do? Miniak? kathako tara deko tara ac?ak? ro?r?tey tele idiak? kana.
35," ??? ?????????????? ??????, ????? ?-?? ??? ??????."," Mor?e? sermaren kur?i gidra? kate cet? hoyok?a, ac? baba ho? thuti galmaraote do uni sa?o bae dar?ek?a."
36, ??? ?? ????? ??., Nia? oktere ac? baba ar kabuliwalage miniak? thuti galmarao ak?njomren asol ho?r?kin do?.
37, ?????? ???? ???? ???? ????? ????? ??????? ?????.," N?elkida?n?, Miniak? an?car do? kismis badamte perec? akana."
38, ?? ??????? ????? ????? ?????? ?????? ?????., Kabuliwalan? metadea.
39,"

 ??????? ??????? ?????? ????, ??? ??????? ????? ????-??? ?????? ??????? ????.", Am do? noako cedak?em em akawadea?  Ina? ro?r? kate pocket? kho?n od?ok kate mit?t?en munda?min? emadea.
40,"

????? ?? ???? ????? ??????? ?????? ?????? ????? ???????? ????? ?????? ???????? ????????, ??? ? ????? ?????? ????.", Kabuliwala ona muda?m do tha?la?k?re baekada.
41,"

???? ???????, ???????????? ???????.", Noa muda?m ia?te ale gharon?jre maran? ka?pha?ria?u hoe akana .
42,"

????? ?? ????????, ????????????? ??? ???? ????? ??? ??? ???? ????."," Mini ac? gogo ran?gao salak? Miniye kuliledea, Am do noa muda?m okarem n?amkeda? Miniye la?i keda, Kabuliwalaye em akawa?din?a?, Mini ac? go?go?ye menkeda, Kabuliwala t?hen noa muda?m cedak?em hataokada? Mini do? ba?i ba?iteye menkeda, E go, In? do? ba?n? tahe?kana, Uni gey emadin?a?."
43,"

???? ????????? ?????? ?????? ????, ??? ??? ??, ?? ???? ????.","
Noa muskilak? khon oar kate pharak sec?in? idikedea."
44,"

??? ?????? ?????? ????? ????? ???? ???? ?????? ?????? ?????? ????? ?????.", In? don? hudislet?a Kabuliwala sa?o Miniak? nia?getae bar dhaoak? n?epel.
45,"

????? ??????, ????????????? ???? ????? ?? ?? ???????? ??????? ???? ???, ???????? ?? ?????? ??????? ?????? ??????????? ??? ????? ????? ??????? ????? ????????? ?????? ?????? ?????? ???????.", Menkhan ho?r?ko t?henin? an?jomkeda ban?ma Kabuliwala do? dina?mge hec?kate Miniak? ho?po?n ho?po?n lawer monere ac?ak? mon ho?ye pante akat? taya barpe got?en kismis badamte.
46,"
???????, ?? ???? ?????? ????? ??????? ?????, ??? ??? ?????? ??????? ???? ???, ?????? ??????????? ???? ????? ?????? ?????? ???????? ????, ????????????, ? ????????????, ????? ? ????? ???? ??.", N?el kida?in? uniak? galmarao talare barpe got?en topol katha ar landa galmarao to menak?gea.
47,"
 ???? ???? ???????? ???????????? ??? ?????? ?????? ?????? ????? ????, ????."," Mini Rohomte n?el lekhange landa katey kuliyeda, Kabuliwala e Kabuliwala, amak? tha?ila?k? bhitri redo celeko menak?koa? Rohmot ho?? landa katey mena, Ha?ti Ac?ak? tha?ila?k? bhitrire mit?t?en ha?ti menaya, nia?ge landa renak? mit?t?en hud?in? rehet?."
48,"

?????? ????? ????? ????? ?? ???? ????? ??? ?????, ????? ???????? ???????, ????.", Nia? hud?in? rehet?rege a?kinak? mone jiwi dole kate a?d?i ra?ska?kin at?karet? kan ta?he?kana.
49," ??? ?? ???? ??????? ???? ??? ???? ??, ????? ?? ??????? ?????? ??? ???? ????? ????? ????? ??? ???????? ??????? ???? ?????? ??? ???? ?????????????? ????? ??? ????? ??????? ????? ??? ?????.", Da?sa?e bon?ga setak?re mit?t?en har?am ar mit?t?en hud?in? kur?iak? landa n?elte in?ho?? a?d?i mo?n?jgen? a?ika?uet?kan tahe?kana.
50,"

?????? ????? ??? ???? ??? ??????? ???.", Unkin talar ear mit?t?en katha reak? gapalmarao tahe?kana.
51," ???? ?????? ???? ????, ???? ????????? ????? ???? ??."," Ona katha do? noa kana; Rohmot Miniye metaekan ta?hekana, E bit?i Mini ja?wa?e or?ak? do? tisem calak?a? A?d?i din do? Ban?laren kur?i hoponko janamok? sa?ote na?iha?r katha do? bhage lekako bad?ae kan tahe?kana."
52,"
??????? ???? ????? ???????? ????????????? ??????? ???? ??????, ?????? ???? ???? ????? ????? ??? ??????? ???? ??????? ??????????? ???????? ?????? ?????? ???? ??? ???."," Nahak?ren ho?r? abodo na?iha?r kathage cet?kan, ona katha do? hud?in? kur?i gidra?ko do? ban?gebon se?r?a ako kana."
53," ?????? ?????? ???????? ?? ???????? ?????? ????? ??, ??? ?????? ????-???? ???? ?? ????? ??? ?????? ???? ??????? ????? ???????????????? ????????? ???????? ????, ???? ??????????? ???? ?

???? ???????? ?????? ????? ???????? ???? ?????? ??????? ?????? ????, ???? ?????? ?????.", Onate ja?nic? Rohomotak? katha Mini bae buj dar?eada.
54,"

??????? ???? ??????-???? ????-?? ??????? ????? ???????? ?????? ?????? ??????? ?????.", Mini Rohmot t?hen kun?ki mente bachnaoenae.
55,"

??? ????? ??????."," Uni do? Rohmotgeye kuli rua?r? kedea, Am ja?wa?e or?ak? bam calak?a? Rohmot do? bar?kac?ge ran?gaoen lekae ud?uk?en teye ro?r? keda, Ho?n?harin? dalea."
56, ??????????? ?? ?????? ?????? ??????????? ????? ?????., Hon?har har?am do? Mini mit?t?en maran? jiya?li menteye hudis kedea.
57," ??? ??????? ???????? ???? ????? ??? ???, ?????? ???????? ???? ???? ????????? ??????? ???????.", Onate uni do? do?meye lak?ndakan tahe?kana.
58," ??? ??? ???? ???? ???? ??????????, ??????? ??????? ???? ???? ??????, ?? ???? ???."," 
Da?sa?e bon?ga."
59," ???? ??????? ??? ??????? ???? ???? ????? ??????? ????, ????? ?????? ??? ??????? ???? ??? ????? ??????? ????? ???? ??????? ????? ??? ???? ??? ??? ???? ??????????? ??????? ??????????? ??? ???????? ??????? ???.", terdec? marsalte marsalakan n?inda?.
60," ? ???? ???? ??? ???? ??????????????? ??, ???? ??????? ???????? ????? ????? ???? ???? ?????? ???????? ???.", Non?kan okteredo raj rapajko la?r?ha?iko od?okok?a.
61," ?????? ?????????? ???? ???? ??? ??????? ????? ?????? ?? ??????? ????? ???? ??????, ???? ?????? ??????? ??? ???.", Kolkata ba?gikate okate ho? ban? od?ok akana.
62," ??? ???? ?????? ?????? ???? ???????? ???? ??????????, ????? ??????? ?????, ?????-??? ?????? ?????? ????????; ??????-??? ???? ? ??????? ??? ?? ???? ????, ??? ?? ???????, ?????? ???? ?????, ?????? ???? ?????? ?????-???? ??????? ?????? ?????????????? ???? ??????? ???????? ???? ???? ?? ?? ??? ???? ????? ?????? ????? ?????? ????."," Onatege ja?nic? in?ak? mone jiwi do? disom disome dar?ankan tahe?kana, In? do? disa?m renak? mit? kond?rege mina?n?a."
63,"
  ????? ?? ??????? ?????? ???????? ???.", Onate ja?nic? in?ak? mone jiwi do? disa?m disa?m dar?an la?git? akutok?kan tahe?kana.
64," ???????? ???? ???? ??????? ?????? ??? ???, ??????? ????? ????? ?????? ??????? ????? ?????? ?????? ??????? ???????.","
Mit?t?en et?ak? disa?m reak? n?utum an?jom sa?ote in?ak? mone jiwi do ona disa?mte ud?a?u calaoena."
65," ?? ???????? ?? ???????? ??? ????? ????? ??? ??? ??????????? ?????????? ???????? ??? ????? ?????? ????????, ????? (??? ???? ??? ???) ???????? ??? ??????? ?? ???????? ?????? ?? ???? ??? ????? ???? ???.", Onkage mit?t?en et?ak? disa?mren ho?r?in? n?el lekhange ona disa?m renak? buru bir gad?atalare menak? mit?t?en hud?in? kumba? or?ak?.
66,"

???? ????????????, ???????? ???? ???????? ???????? ????? ??.",in?ak? mone talare upelok?kan tahe?kana.
67, ????? ????? ????? ?????? ??????? ???? ???? ????? ?????? ?????? ???????????., Ar ona sa?o sa?ote mit?t?en phurga?l disa?m reak? umul naksa in?ak? monere a?cur bar?aekan tahe?kana.
68," ??? ?????? ?????? ??????? ???????? ????? ?????? ????? ???? ???????????? ????? ??????? ?????? ??????, ???? ?? ?????? ???? ???? ???? ??.", Ar ona sa?o sa?ote mit?t?en phurga?l disa?m reak? umul naksa in?ak? monere a?cur bar?aekan ta?hekana.
69, ????????? ?? ??????????? ??????? ???., In? do?in? non?kan ho?r? kangea je in?ak? noa hud?in? or?ak? khon od?okok?teho? bohok?re sen?gel dak? n?ur?na.
70, ???? ???????? ??????? ????? ???? ???? ???? ???? ?????? ????? ?????? ???????? ?? ??????., Ona ia?te in?ak? hud?in? or?ak?re t?ebil ar?ere dur?up? kate Rohmot sa?o gapalmaraotege in?ak? disa?m dar?am do? hoyok?kan tahe?kana.
71,"

????? ?????? ???, ????????? ?? ?????? ???? ??? ?????? ??????????.", Banar sa re ropok? jopok? menak? usul ar chepo buruko do? seton?te rapak? akante arak?ge n?elok?kana.
72," ??????? ?????? ????? ????? ???? ???, ?????? ???? ??????? ??? ??? ?????? ???.", Ona buruko khon nanha nanha ho?r d?ahar ko od?ok calao akana.
73," ??????, ??? ?????? ???? ???? ?????? ?????? ??????? ????? ????? ????? ??????? ??.", Noako hor d?aharte a?d?i hamal jinis gugu kate u?t?ko tar?amakada.
74,"

????? ???? ??? ????? ???????? ???? ???? ?????? ????."," Ar da?hr?i akan ba?nij bepar ho?r? ko, okoe do? u?t? cetanre, okoe do? tar?amte, adomko do? tire khe?ca tako ar adomak? tiredo sedayak? ba?nduktako; non?kage uni Kabuliwala do? that? thot? deko ro?r?te ac?ak? janam disa?m renak? ka?hniye la?ia?n? kan tahe?kana; ar monere ona ka?hni korenak? naksage upel bar?aekan tahe?kana."
75," ?? ?????? ????? ?????? ???? ????? ?????? ???? ??, ???? ?????? ????.", Mini ac? go?go? do? bar?kac?ge a?d?i a?t?e botorok?a.
76, ????? ????? ?????? ??? ?????? ??? ????? ?????? ????? ????? ????.," Kud?a?m ar?ere mit?t?en sad?eye an?jom lekhangeye hudisa, disa?mren jo?to? bul ho?r? do? ja?nic? ale or?ak?sec?geko hijuk? kana."
77," ?????? ???????? ??? ???, ?????? ????? ??? ???? ????????? ???????."," Ac? kathae noa disa?m do? sanam jaegage d?a?ku, bul ho?r?, bin? kidin? ar ta?rup? emantege perec? akana."
78," ????? ?? ??? ????? ???? ?? ?? ??? ????, ???????? ???? ????????; ???????? ???? ???? ??? ????????-????-????????-???, ??? ?????????????? ????? ??????? ?????? ???????? ???? ???? ????? ???? ?????? ??????? ???.", Numin serma tahe?kate ho?? noa dha?rti reak? ba?r?ic? ka?mi selet? hudis do? ac?ak? mone khon ban?ge ocok? akana.
79," ??????, ??? ???? ???? ?????????????, ? ????????????? ?????? ?????? ?????? ??????? ??? ??? ??? ???????? ?????? ????? ?????? ??? ?????? ????? ????, ??? ????? ????? ??????? ????? ???.", Rohmot cetanre Mini en?gat?ak? monre do? mit?t?en et?ak? lekan bhoyon hudis ta?hekana.
80,"

?? ??? ????? ???? ???? ??? ?????? ????? ??? ?????? ???????.", Ona ia?te uni do? Rohmot cetanre mit?talao nojor do?ho?e la?git? in?e ansa lar?aoidin? kan tahe?kana.
81," ?????? ????? ?????? ?? ???-?????? ???? ????? ??? ??????? ????? ????????, ???? ???? ??????? ??????? ??????? ????."," In? tinre uniak? ona bhoyon hudis landate ot?an? reak? kurmut?uya, unrege Mini en?gat? do? bar pe? go?t?en kathaye kuliyin?a, Ja?ha?tis cet? ja?ha?eren gidra? bako komr?o akana? Kabul disa?mre cet? ayo ho?r? kirin? a?khrin? reak? ca?lit? ba?nuk?a? Un maran? Kabuliwala mit?t?en hud?in? hud?in? gidra? cet? bae idi dar?eya? Or?ak? bon?gawak? katha sa?ri mente an?goc kate ho? ba?n? pa?tya?uat?taea."
82," ?????? ??? ?????? ?????? ???????-??????? ???? ???? ?????? ??? ?????? ?????????, ??? ?????????? ??? ???? ??? ??????.", Pa?tia?uk? babotre joto ho?r?ak? dar?e do? ban? somana.
83, ???? ??? ??? ???? ????? ??????-???????-?????? ??????? ?????????? ????? ?????? ?????? ???? ??? ??????? ????????.," Onate, in? ba?huwak? monre botor menak?taereho? Kabuliwala ale or?ak? hijuk? do? ba?n? manaledea."
84, ??? ???? ???????? ???? ???? ??? ???? ???., Ente Unire Jahan dosge ba?n? n?ellet?a.
85,"

??????? ????, ?????? ?????? ??? ???????????? ???????? ????? ??????? ????? ??????? ??????? ????? ?? ????????.","
Serma reak? magh bon?ga talarege Rohmot do? ako disa?mtey rua?r? calak?a."
86, ?????? ???????????? ????????? ??? ???? ????????????? ???? ???????? ????., Or?ak? calak? lahara uni do? ac?ak? paona ka?ud?i a?da?ire a?d?i a?ujha?r?reye tahena.
87," ??? ??????? ?????? ????? ?????????????? ????? ???????, ???????? ?????? ????????? ??.", Ona la?git? uni do? or?ak? dar?an hoyok?kan tahe?kan taea.
88,"

??????? ????? ????, ??????? ?????? ???? ??????? ??????? ??, ?????? ????????? ???? ??? ??????? ?????? ???? ?????? ???? ??????? ?????? ???????????? ??? ???? ?? ???????? ??? ??? ????? ????? ???? ????? ????? ???? ?????? ?? ???? ??????? ???????.", Non?ka dar?an oktere uni do? mit? gha?r?i la?git? ho?? Mini sa?o do?ye n?epel torak?gea.
89,"

???? ??? ??????????? ??????? ??????? ???????? ???? ??????, ??? ????? ????????????, ? ????????????? ?????? ?????? ????? ???? ?? ???? ????? ????? ????.", Sa?rigem n?ellekhan unkin talare mit?t?en cet? reak? tonol comorom n?amgea.
90," 

?????? ??? ????????? ????? ??????????? ???????? ????? ????.", Setak? Rohmot bae hijuk? khan a?yup? kote doe hijuk?gea.
91," ????? ??????? ?? ???? ??? ??, ?????? ???? ???????? ??????? ??????? ?????? ???? ????? ??.", N?inda? okte jhalan? jhulun? an?grop horok?akat? onkan usul ho?r? or?ak?rem n?aman khan kha?t?ige bin bo?to?rte do? bam ta?hedareak?a.
92," ???? ???????? ?????? ???????? ????, ???? ??????????? ???? ?
  ???? ??????? ????, ??????? ??????."," Menkhan Mini do? Kabuliwala, e Kabuliwala ho?ho?e tuluc? landa landate Rohmot t?hene n?ir hijuk?a."
93,"

????? ??????? ????? ???????? ??? ??, ??? ??? ???????? ????, ??????? ???????, ?????? ?? ????? ??? ?????.", Mit?t?en har?am ho?r? ar mit?t?en hud?in? hud?in? kur?igidra?wak? ro?r? landam an?jom lekhan sanam mone jiwi rar?ec? godok? tama.
94,"

???????? ???? ??? ?????? ????? ???? ?????? ???????? ???.", Mit? din setak? bela in?ak? hopon or?ak?re dur?upkate o?l korenak? bhulkon? n?eljuteda.
95,"

????? ??? ???????? ??????? ?????.", Bida?y hatao mar?an? din khonge barpe maha do? a?d?i a?t? raban? a?ika?uk? kana.
96," ???? ??? ??? ?????? ??????????-??? ????? ????? ????? ????? ?? ??? ???????? ??? ???? ??????? ????????? ????? ????????????? ????? ?? ???? ?????? ???????? ???????, ???? ?????? ???? ???? ??? ??.", Disa?m renak? ca?ria?kond? rege ja?nic? raban? renak? landa an?jomok?kana.
97,"

??, ??????????? ????? ???? ?? ??????? ???????? ???? ????? ?????? ??????? ????? ???.", Magh bon?ga setak? rena lawer seton? janala tap?kate in?ak? jan?ga cetanre par?ao akana; ar ona urgum lawer seton? a?d?i mon?jge a?ika?uk? kan tahe?kana.
98, ?? ?????????? ????? ?????? ??????? ??????? ????? ?????? ??? ?????? ???? ???? ?????? ????., Undo ja?nic? eyae baja hoe botejok?a.
99, ??? ????? ?? ????? ???? ??????? ????? ????? ??? ???? ???????? ???? ???? ?????? ??? ?????? ?????., Setak?ren ce?r?e? cirput? akaoak? setak? dar?an khon a?yup? mar?an?re or?ak?sec? hijuk?ko mohnd?a akan.
100," ???-??, ??? ????? ????? ??????? ???? ?????? ?? ?????? ?????? ???? ??.", Onkan oktere mit?t?en maran? uta?r awaj sad?eyena.
101, ??? ?? ????? ???? ???????? ???? ????????., N?elkida?n? barea darwan kabuliwala tolkatekin a?guyede kana.
102,"

?? ???? ??????? ???.", Kabuliwala tayomte mit? do?n?go?l gidra? a?d?i ra?ska?k? tuluc?ko a?yur akana.
103, ??-???? ?????? ????????., Kabuliwalawak? kicric?re mayam reak? cinha? ar dar?anak? chora do mayam cinha? ar darwanak? chora do? mayamte jodbodao caba akana.
104, ???? ????? ??????? ??????? ????? ???????.," Or?ak? khon od?oktora darwanin? kuliket?kina?, Cet? bepar ya? Kuli kate sanam kathan? buj keda."
105, ????? ????? ????? ????? ????? ????., Ban?ma atoren har?am Rampuria cadorte Kabuliwala t?hen dharwa dapale rika? leda.
106, ???????????? ????? ????? ???? ???? ????????? ??????? ??????? ?????? ??????? ?????? ?????., Un jokhen kabuliwala do? uni har?amak? d?hobo lac?re churiye sobok? sa?bao leda ar a?d?i a?t?e egerleda.
107,"

???????? ??? ?????? ????? ???? ???????.", Onkako tola?guakade oktere Mini do? e Kabuliwala e e Kabuliwala ho?ho? ho?ho?te or?ak? khone od?ok? hec?ena.
108, ?????? ??? ?? ????? ??????? ????? ??? ????????-????? ?????? ????? ??? ?? ????????., Miniak? ona laoar napae hohote e Kabuliwalawak? sanam monejiwi do? mit? gha?r?ite ra?ska?te perec? sarer?entaea.
109," ???-??, ???????? ???? ??????? ?????????? ?????????? ???????? ?????????? ????? ?? ??????? ??? ???? ????? ?????? ??????? ????????.", Menkhan Mini do?e n?elkeda Rohmatak? tarenre nindara leka tha?ila?k? do? ba?nuk?a.
110,"
???? ??? ?? ?????? ??? ???? ?? ???? ????? ????????."," Onatege ja?nic? a?kinak? nindara reak?  ro?r? landa deya kate ekene kulikedea, Ontegen? calak? kana."
111, ?? ????? ??? ???? ????? ??????? ?????? ???? ???? ???????? ???????? ??????? ???????., Uni ja?nic?e bujha?ukeda ona kathae Mini bae ra?ska?lena.
112, ???? ????? ???????? ???? ????? ?????????????? ????? ??????? ???? ????? ??????????? ??????? ?????? ??????.," Khan ti uduk? katey menkeda, Hon?harin? har?amin? dal kea, menkhan ti ko tol akat?tin?a?."
113, ?? ???? ????? ?????.,"
A?d?i maran? ghat? guna?k?te Rohmotak? pe pon serma jehel hoyentaea."
114,"

???? ???? ???? ??????, ??????? ???????.", Unkhonge uni dole hir?in? sa?n?gin? kedea.
115, ????? ???? ???????? ??? ?????? ?????? ; ?????? ??? ??? ??? ?????????? ??? ???????? ??? ??? ???? ??????? ; ????????? ???? ???., Numin maran? dha?rtire noa or?ak? son?sar reak? sanam ka?mi sa?tkate duk-sukte dinle khemaoet? ta?hekana.
116,"

??? ???? ??????? ??? ?????? ????? ????????, ??? ???? ???? ?????? ????? ?????? ????????."," Enreho? mit?t?en sa?dhin ho?r? ac?ak? sa?dhinota at?kate cet? lekate jehel khana reak? khan?ca bhitrire tahe?kate dine khemaoeda, noa kathakorenak? mit?t?en katha ho?? aleak? monredo mit? bela se tara bela ho? ban? upelok?kan tahe?kana."
117,"

??? ?????? ?????? ?????? ??????? ??.", Ar note bhor hara kur?i Miniac? ba?r?ic? ka?mikote ac? baba ho?? lajaote tepet? akana.
118," ????? ?? ???? ???, ????? ?? ????? ??? ???, ????? ????? ??????? ??? ?? ??? ???.", Ar Miniak? jua?ni do? lolo mone jiwi renak? rumujte tepet? akana.
119, ?????? ????? ???? ??????? ?????? ???????., Ar uniak? jua?ni lolo mone renak? ro?r? landa ko ho?? ho?r? ko talare do? lajao par?a reak? katha kana.
120,"

??????, ?? ?? ????, ??? ?????.", Tehen? do? ac? baba ho?? noa katha ko er?e kathate dapal dar?eak? kana.
121,"

?? ????, ??? ??????????? ??? ???? ????? ????????."," Mini Rohmotak? seday sohag dula?r?, ro?r? landakoe hir?in? sa?n?gin? keda."
122,"

????? ??????? ???? ???? ???? ?????? ????.", Netar do? nawa nawa gate ko sa?o uniak? mone jiwi do? topol akantaea.
